bin.id,paired.com.id.initial,paired.com.id.final,vase.id,loc.id,diversity.treatment,disease.treatment,depth,family.id,color,alive.24JAN,shoot.no.24JAN,total.length.24JAN,infected.shoot.length.24JAN,lesion.present.09MAR,alive.26MAR,shoot.no.26MAR,total.length.26MAR,infected.shoot.length.26MAR,lesion.present.26MAR,lesion.spread.T.26MAR,lesion.spread.B.26MAR,lesion.spread.26MAR,mono.viable?
3,V49,M10,26,4,mono,disease,mid,M10,purple,1,1,37,37,1,1,1,24,24,1,1,0,1,NA
10,V107,DP3,100,2,poly,disease,deep,D10,yellow,1,3,125,74,1,1,4,102,50,1,1,1,2,1
10,V107,DP3,91,2,poly,control,deep,D10,yellow,1,1,51,51,0,1,1,35,35,0,NA,NA,NA,1
1,V25,SP1,6,3,poly,control,shallow,S6,blue,1,1,22.5,22.5,0,1,1,15.5,15.5,0,NA,NA,NA,1
6,V33,SP4,52,4,poly,control,shallow,S5,purple,1,1,24.5,24.5,0,1,1,17,17,0,NA,NA,NA,0
11,V69,MP4,106,4,poly,disease,mid,M12,purple,1,2,70,59,1,1,2,54,41,1,7,7.5,14.5,1
2,V17,S12,18,1,mono,control,shallow,S12,pink,1,1,20,20,0,1,1,14,14,0,NA,NA,NA,NA
12,V1,S1,112,2,mono,control,shallow,S1,yellow,1,1,13.5,13.5,0,1,1,9.5,9.5,0,NA,NA,NA,NA
8,V23,SP3,71,4,poly,control,shallow,S3,purple,1,2,124.5,67.5,0,1,2,62,48,0,NA,NA,NA,1
10,V79,D4,97,1,mono,control,deep,D4,pink,1,1,36,36,0,1,1,26,26,1,0,0.5,0.5,NA
3,V49,M10,26,3,mono,disease,mid,M10,blue,1,2,92,78,1,1,1,57,57,1,1.5,0,1.5,NA
1,V97,DP5,8,1,poly,disease,deep,D2,pink,1,1,9.5,9.5,1,1,1,7,7,NA,NA,NA,NA,0
3,V55,MP1,25,4,poly,disease,mid,M3,purple,1,1,35,35,1,1,1,26,26,1,19,2.5,21.5,1
9,V39,M4,89,4,mono,control,mid,M4,purple,1,1,43,43,0,1,1,32,32,0,NA,NA,NA,NA
3,V55,MP1,25,2,poly,disease,mid,M12,yellow,1,1,47,47,1,1,2,54,35,1,3,2.5,5.5,1
7,V41,M6,66,3,mono,disease,mid,M6,blue,1,1,38,38,1,1,1,28.5,28.5,1,0,0.5,0.5,NA
10,V79,D4,97,2,mono,control,deep,D4,yellow,1,1,22,22,0,1,1,16.5,16.5,0,NA,NA,NA,NA
10,V87,D10,92,4,mono,control,deep,D10,purple,1,3,153,71,0,1,2,73.5,54,0,NA,NA,NA,NA
10,V107,DP3,91,3,poly,control,deep,D3,blue,1,2,88,69.5,0,1,2,72.5,53,0,NA,NA,NA,1
8,V83,D8,79,1,mono,control,deep,D8,pink,1,2,114.5,30,0,1,2,101,23,0,NA,NA,NA,NA
9,V5,S3,85,2,mono,disease,shallow,S3,yellow,1,1,32.5,32.5,1,1,1,25,25,1,15,4,19,NA
3,V49,M10,24,3,mono,control,mid,M10,blue,1,3,121,50.5,0,1,3,100,39,0,NA,NA,NA,NA
11,V81,D6,109,4,mono,control,deep,D6,purple,1,1,55.5,55.5,0,1,1,43,43,0,NA,NA,NA,NA
4,V63,MP5,34,3,poly,disease,mid,M4,blue,1,1,49,49,0,1,1,38,38,0,NA,NA,NA,1
8,V83,D8,79,2,mono,control,deep,D8,yellow,1,3,221,91.5,0,1,3,206,71,0,NA,NA,NA,NA
11,V69,MP4,106,3,poly,disease,mid,M9,blue,1,3,145.5,83.5,0,1,3,118,65,0,NA,NA,NA,NA
10,V79,D4,93,4,mono,disease,deep,D4,purple,1,3,67.5,46,1,1,2,47.5,36,1,11,1,12,NA
8,V21,SP2,76,3,poly,disease,shallow,S11,blue,1,3,206.5,121,1,1,4,192,95,1,7,3.5,10.5,1
11,V69,MP4,103,3,poly,control,mid,M9,blue,1,1,30.5,30.5,0,1,1,24,24,0,NA,NA,NA,1
4,V59,MP3,36,4,poly,disease,mid,M12,purple,1,2,84,54,1,1,3,85,43,1,5,3,8,1
5,V125,MIX1,49,3,poly,control,mix,S11,blue,1,2,106.5,66,0,1,4,77,53,NA,NA,NA,NA,1
10,V107,DP3,91,1,poly,control,deep,D4,pink,1,2,74,56,0,1,1,45,45,0,NA,NA,NA,1
8,V23,SP3,71,3,poly,control,shallow,S11,blue,1,3,257,101.5,0,1,4,184,82,0,NA,NA,NA,1
6,V77,D3,56,1,mono,control,deep,D3,pink,1,2,94.5,73,0,1,2,83,59,0,NA,NA,NA,NA
8,V15,S11,73,3,mono,control,shallow,S11,blue,1,2,135.5,97.5,0,1,3,128,79,0,NA,NA,NA,NA
6,V77,D3,54,3,mono,disease,deep,D3,blue,1,1,8,8,0,1,1,6.5,6.5,1,NA,NA,2,NA
12,V1,S1,116,1,mono,disease,shallow,S1,pink,1,1,32,32,0,1,1,26,26,1,1,1,2,NA
2,V47,M9,11,1,mono,disease,mid,M9,pink,1,3,244,113,1,1,3,221,93,1,8,2,10,NA
3,V71,MP2,22,4,poly,control,mid,M6,purple,1,3,201,91,0,1,2,115,75,0,NA,NA,NA,1
9,V39,M4,82,3,mono,disease,mid,M4,blue,1,2,157,109.5,1,1,2,140,91,1,0.1,0,0.1,NA
10,V87,D10,92,3,mono,control,deep,D10,blue,1,5,256.5,85,0,1,5,242,71,0,NA,NA,NA,NA
4,V37,M3,38,4,mono,control,mid,M3,purple,1,2,182,110,0,1,5,282,92,0,NA,NA,NA,NA
6,V33,SP4,52,2,poly,control,shallow,S1,yellow,1,1,27.5,27.5,0,1,1,23,23,0,NA,NA,NA,1
3,V71,MP2,22,1,poly,control,mid,M9,pink,1,4,275,111,0,1,4,255,93,0,NA,NA,NA,1
10,V79,D4,93,2,mono,disease,deep,D4,yellow,1,2,73.5,56,1,1,2,61,47,1,1,0.5,1.5,NA
8,V21,SP2,76,4,poly,disease,shallow,S5,purple,1,1,44,44,1,1,1,37,37,1,3,2,5,0
6,V91,DP2,51,3,poly,disease,deep,D8,blue,1,2,87.5,45,1,1,2,54,38,1,3,1,4,1
9,V39,M4,89,3,mono,control,mid,M4,blue,1,3,191,103,0,1,3,172,87,0,NA,NA,NA,NA
2,V17,S12,19,4,mono,disease,shallow,S12,purple,1,2,80,73,1,1,2,79,62,1,14,4,18,NA
4,V37,M3,33,1,mono,disease,mid,M3,pink,1,1,44.5,44.5,1,1,1,38,38,1,0,7,7,NA
4,V59,MP3,35,2,poly,control,mid,M3,yellow,1,1,7,7,0,1,1,6,6,0,NA,NA,NA,1
4,V37,M3,38,2,mono,control,mid,M3,yellow,1,1,28,28,0,1,1,24,24,0,NA,NA,NA,NA
5,V93,DP1,50,1,poly,disease,deep,D9,pink,1,2,82,66.5,0,1,3,84.5,57,1,NA,NA,1.5,0
1,V61,MP5,2,3,poly,control,mid,M7,blue,1,3,170,99,0,1,3,148.5,85,0,NA,NA,NA,1
7,V41,M6,66,1,mono,disease,mid,M6,pink,1,1,42.5,42.5,1,1,1,36.5,36.5,1,7,2,9,NA
5,V53,M12,46,4,mono,control,mid,M12,purple,1,2,89,78,0,1,3,103,67,0,NA,NA,NA,NA
9,V39,M4,82,1,mono,disease,mid,M4,pink,1,3,215,133,0,1,3,171.5,114.5,1,0.1,0,0.1,NA
7,V43,M7,69,2,mono,control,mid,M7,yellow,1,3,135.5,69.5,0,1,3,129,60,1,NA,NA,0.5,NA
3,V55,MP1,25,1,poly,disease,mid,M11,pink,1,1,30,30,1,1,1,26,26,1,3,2,5,0
3,V55,MP1,25,3,poly,disease,mid,M4,blue,1,2,84,70,1,1,2,80,61,1,2,5,7,1
5,V121,MIX2,43,3,poly,control,mix,D9,blue,1,1,58,58,0,1,1,51,51,0,NA,NA,NA,0
8,V21,SP2,80,2,poly,control,shallow,S10,yellow,1,2,104,83,0,1,2,92,73,0,NA,NA,NA,0
5,V53,M12,45,2,mono,disease,mid,M12,yellow,1,2,133,80.5,0,1,3,144,71,1,0.5,0.5,1,NA
4,V113,MIX2,37,1,poly,disease,mix,S6,pink,1,3,123,74,1,1,3,123,66,1,0.5,0.5,1,1
3,V49,M10,26,1,mono,disease,mid,M10,pink,1,3,158.5,97,1,1,3,145,87,1,2,2,4,NA
7,V43,M7,61,1,mono,disease,mid,M7,pink,1,1,73,73,1,1,1,65.5,65.5,1,2.5,2.5,5,NA
11,V81,D6,109,3,mono,control,deep,D6,blue,1,4,149,59,0,1,5,158.5,53,0,NA,NA,NA,NA
1,V25,SP1,6,1,poly,control,shallow,S12,pink,1,2,71.5,58.5,0,1,3,85,53,0,NA,NA,NA,1
6,V91,DP2,51,4,poly,disease,deep,D2,purple,1,1,51.5,51.5,1,1,2,61,47,1,7,3.5,10.5,0
6,V91,DP2,58,4,poly,control,deep,D2,purple,1,2,144.5,92,0,1,3,145,84,0,NA,NA,NA,0
5,V89,D11,42,2,mono,control,deep,D11,yellow,1,1,12,12,0,1,1,11,11,1,0.25,0.25,0.5,NA
8,V15,S11,74,3,mono,disease,shallow,S11,blue,1,1,24,24,0,1,1,22,22,1,0,0.5,0.5,NA
12,V27,SP4,118,4,poly,disease,shallow,S1,purple,1,1,49,49,1,1,1,45,45,1,7,2,9,1
9,V5,S3,85,1,mono,disease,shallow,S3,pink,1,2,81.5,69.5,1,1,3,90,64,1,0.5,1,1.5,NA
9,V5,S3,90,4,mono,control,shallow,S3,purple,1,1,13,13,0,1,1,12,12,0,NA,NA,NA,NA
8,V21,SP2,76,1,poly,disease,shallow,S6,pink,1,1,33,33,1,1,1,30.5,30.5,1,3,3,6,1
11,V69,MP4,103,4,poly,control,mid,M12,purple,1,2,73,59.5,0,1,3,90,55,0,NA,NA,NA,1
9,V5,S3,85,4,mono,disease,shallow,S3,purple,1,4,225,53,1,1,4,165,49,1,0.5,0.5,1,NA
8,V21,SP2,80,3,poly,control,shallow,S11,blue,1,3,206.5,121.5,0,1,3,199,113.5,0,NA,NA,NA,1
12,V27,SP4,118,2,poly,disease,shallow,S4,yellow,1,5,184,62,1,1,6,187.5,58,1,0.5,0.5,1,0
9,V5,S3,85,3,mono,disease,shallow,S3,blue,1,1,8,8,1,1,1,7.5,7.5,1,2.5,3.5,6,NA
1,V97,DP5,8,3,poly,disease,deep,D4,blue,1,3,50,34,1,1,2,39,32,NA,NA,NA,NA,1
8,V15,S11,74,1,mono,disease,shallow,S11,pink,1,1,43,43,0,1,1,40.5,40.5,0,NA,NA,NA,NA
10,V87,D10,96,3,mono,disease,deep,D10,blue,1,1,28.5,28.5,1,1,1,27,27,1,2,3,5,NA
12,V27,SP4,118,1,poly,disease,shallow,S6,pink,1,1,48,48,1,1,1,45.5,45.5,1,0.5,0.5,1,1
2,V47,M9,11,2,mono,disease,mid,M9,yellow,1,2,118,60,1,1,3,117,57,1,0.25,0.25,0.5,NA
4,V11,S6,32,4,mono,disease,shallow,S6,purple,1,2,118.5,60,1,1,3,85,57,1,11,3,14,NA
12,V1,S1,112,4,mono,control,shallow,S1,purple,1,3,187.5,91.5,0,1,4,183,87,0,NA,NA,NA,NA
8,V23,SP3,71,1,poly,control,shallow,S1,pink,1,1,41,41,0,1,1,39,39,0,NA,NA,NA,1
5,V53,M12,46,1,mono,control,mid,M12,pink,1,1,31.5,31.5,0,1,1,30,30,0,NA,NA,NA,NA
12,V1,S1,112,3,mono,control,shallow,S1,blue,1,3,103.5,74.5,0,1,2,90,71,0,NA,NA,NA,NA
11,V81,D6,102,4,mono,disease,deep,D6,purple,1,1,21.5,21.5,1,1,1,20.5,20.5,1,9,3,12,NA
5,V125,MIX1,49,1,poly,control,mix,D2,pink,1,3,128,65,0,1,3,123,62,0,NA,NA,NA,0
4,V11,S6,32,2,mono,disease,shallow,S6,yellow,1,1,68,68,1,1,2,82,65,1,5,5,10,NA
7,V41,M6,66,4,mono,disease,mid,M6,purple,1,4,191.5,71.5,0,1,5,161.5,68.5,0,NA,NA,NA,NA
6,V77,D3,54,2,mono,disease,deep,D3,yellow,1,1,12,12,1,1,1,11.5,11.5,1,5,1,6,NA
5,V53,M12,46,3,mono,control,mid,M12,blue,1,1,50,50,0,1,1,48,48,0,NA,NA,NA,NA
4,V59,MP3,36,2,poly,disease,mid,M3,yellow,1,2,137.5,77,1,1,3,154,74,1,6,0.5,6.5,1
5,V93,DP1,50,2,poly,disease,deep,D3,yellow,1,3,131.5,64.5,1,1,6,146.5,62,1,1.5,1.5,3,1
2,V47,M9,14,3,mono,control,mid,M9,blue,1,2,134.5,118.5,0,1,1,114,114,0,NA,NA,NA,NA
4,V113,MIX2,37,3,poly,disease,mix,D6,blue,1,2,85,54,1,1,2,83,52,1,5,3,8,1
11,V95,DP4,107,1,poly,control,deep,D3,pink,1,3,182.5,86.5,0,1,5,222.5,83.5,0,NA,NA,NA,1
4,V37,M3,33,4,mono,disease,mid,M3,purple,1,2,106,59,1,1,2,115,57,1,5,3,8,NA
5,V89,D11,44,2,mono,disease,deep,D11,yellow,1,3,107,59,1,1,3,110.5,57,1,2,3,5,NA
6,V91,DP2,58,2,poly,control,deep,D3,yellow,1,3,113.5,61,0,1,5,131,59,0,NA,NA,NA,1
8,V83,D8,75,3,mono,disease,deep,D8,blue,1,1,31,31,1,1,1,30,30,1,1,2,3,NA
