day,month,year,bin.id,paired.com.id.initial,paired.com.id.final,vase.id,loc.id,diversity.treatment,disease.treatment,depth,family.id,clone.color,alive,no.shoots,root.length,ag.biomass,bg.biomass,shoot.id,shoot.length,sheath.length,inoculated,flw,leaf.id,outside.sheath,leaf.length,leaf.area,lesion.present,lesion.no,lesion.area,lesion.pc,broken.tip,tissue.sample
5,june,2018,1,V61,MP5,2,1,poly,control,mid,M11,pink,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,june,2018,1,V61,MP5,2,2,poly,control,mid,M8,yellow,1,1,17,0.238,0.272,1,33,11,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,0
5,june,2018,1,V61,MP5,2,2,poly,control,mid,M8,yellow,1,1,17,0.238,0.272,1,33,11,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,1
5,june,2018,1,V61,MP5,2,2,poly,control,mid,M8,yellow,1,1,17,0.238,0.272,1,33,11,1,0,3,0,NA,NA,NA,NA,NA,NA,NA,0
5,june,2018,1,V61,MP5,2,2,poly,control,mid,M8,yellow,1,1,17,0.238,0.272,1,33,11,1,0,4,0,NA,NA,NA,NA,NA,NA,NA,0
5,june,2018,1,V61,MP5,2,2,poly,control,mid,M8,yellow,1,1,17,0.238,0.272,1,33,11,1,0,5,1,NA,NA,NA,NA,NA,NA,NA,0
5,june,2018,1,V61,MP5,2,3,poly,control,mid,M7,blue,1,1,14,0.097,0.152,1,32,10,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,0
5,june,2018,1,V61,MP5,2,3,poly,control,mid,M7,blue,1,1,14,0.097,0.152,1,32,10,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,1
5,june,2018,1,V61,MP5,2,3,poly,control,mid,M7,blue,1,1,14,0.097,0.152,1,32,10,1,0,3,0,NA,NA,NA,NA,NA,NA,NA,0
5,june,2018,1,V61,MP5,2,4,poly,control,mid,M3,purple,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,june,2018,1,V25,SP1,6,1,poly,control,shallow,S12,pink,1,9,30,1.49,1.071,1,56,16.5,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,0
5,june,2018,1,V25,SP1,6,1,poly,control,shallow,S12,pink,1,9,30,1.49,1.071,1,56,16.5,NA,0,2,0,NA,NA,NA,NA,NA,NA,NA,1
5,june,2018,1,V25,SP1,6,1,poly,control,shallow,S12,pink,1,9,30,1.49,1.071,1,56,16.5,NA,0,3,0,NA,NA,NA,NA,NA,NA,NA,0
5,june,2018,1,V25,SP1,6,1,poly,control,shallow,S12,pink,1,9,30,1.49,1.071,1,56,16.5,NA,0,4,1,NA,NA,NA,NA,NA,NA,NA,0
5,june,2018,1,V25,SP1,6,1,poly,control,shallow,S12,pink,1,9,30,1.49,1.071,1,56,16.5,NA,0,5,1,NA,NA,NA,NA,NA,NA,NA,0
5,june,2018,1,V25,SP1,6,1,poly,control,shallow,S12,pink,1,9,30,1.49,1.071,1,56,16.5,NA,0,6,1,NA,NA,NA,NA,NA,NA,NA,0
5,june,2018,1,V25,SP1,6,1,poly,control,shallow,S12,pink,1,9,30,1.49,1.071,2,13,4.5,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,0
5,june,2018,1,V25,SP1,6,1,poly,control,shallow,S12,pink,1,9,30,1.49,1.071,2,13,4.5,NA,0,2,0,NA,NA,NA,NA,NA,NA,NA,0
5,june,2018,1,V25,SP1,6,1,poly,control,shallow,S12,pink,1,9,30,1.49,1.071,2,13,4.5,NA,0,3,0,NA,NA,NA,NA,NA,NA,NA,0
5,june,2018,1,V25,SP1,6,1,poly,control,shallow,S12,pink,1,9,30,1.49,1.071,2,13,4.5,NA,0,4,1,NA,NA,NA,NA,NA,NA,NA,0
5,june,2018,1,V25,SP1,6,1,poly,control,shallow,S12,pink,1,9,30,1.49,1.071,3,17,6,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,0
5,june,2018,1,V25,SP1,6,1,poly,control,shallow,S12,pink,1,9,30,1.49,1.071,3,17,6,NA,0,2,0,NA,NA,NA,NA,NA,NA,NA,0
