day,month,year,bin.id,vase.id,loc.id,com.id,paired.com.id,diversity.treatment,depth,disease.treatment,family.id,table,tray,cell.id,color,alive,shoot.no,length.1,length.2,length.3,length.4,length.5,length.6,length.7,Notes
28,july,2017,2,12,1,V51,V51,mono,mid,disease,M11,1,6,5D,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,2,12,2,V51,V51,mono,mid,disease,M11,2,10,9E,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,"replace if possible, one leaf, mostly brown"
28,july,2017,2,12,3,V51,V51,mono,mid,disease,M11,2,16,6F,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,2,12,4,V51,V51,mono,mid,disease,M11,1,4,4D,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,2,13,1,V52,V51,mono,mid,control,M11,1,6,9F,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,2,13,2,V52,V51,mono,mid,control,M11,2,14,9D,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,2,13,3,V52,V51,mono,mid,control,M11,2,13,10F,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,2,13,4,V52,V51,mono,mid,control,M11,1,7,3E,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,2,14,1,V47,V47,mono,mid,disease,M9,1,7,6B,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,replace if possible
28,july,2017,2,14,2,V47,V47,mono,mid,disease,M9,2,12,10C,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,2,14,3,V47,V47,mono,mid,disease,M9,1,1,11A,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,2,14,4,V47,V47,mono,mid,disease,M9,2,9,10D,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,replace if possible
28,july,2017,2,15,1,V74,V73,mono,deep,control,D1,2,14,8F,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,2,15,2,V74,V73,mono,deep,control,D1,1,1,3F,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,2,15,3,V74,V73,mono,deep,control,D1,2,16,5C,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,2,15,4,V74,V73,mono,deep,control,D1,1,5,8A,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,2,16,1,V73,V73,mono,deep,disease,D1,2,11,11B,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,2,16,2,V73,V73,mono,deep,disease,D1,1,2,5D,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,2,16,3,V73,V73,mono,deep,disease,D1,2,11,12D,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,2,16,4,V73,V73,mono,deep,disease,D1,1,6,3B,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,2,17,1,V109,V109,poly,mix,disease,S12,1,3,12E,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,2,17,2,V109,V109,poly,mix,disease,S2,1,6,2B,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,2,17,3,V109,V109,poly,mix,disease,D10,2,12,12D,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,2,17,4,V109,V109,poly,mix,disease,M7,2,9,11E,purple,0,NA,NA,NA,NA,NA,NA,NA,NA,dead
28,july,2017,2,18,1,V18,V17,mono,shallow,control,S12,1,6,9D,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,2,18,2,V18,V17,mono,shallow,control,S12,1,2,10F,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,2,18,3,V18,V17,mono,shallow,control,S12,2,14,1E,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,2,18,4,V18,V17,mono,shallow,control,S12,2,9,9C,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,2,19,1,V17,V17,mono,shallow,disease,S12,1,3,10E,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,2,19,2,V17,V17,mono,shallow,disease,S12,1,4,6F,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,2,19,3,V17,V17,mono,shallow,disease,S12,2,13,4B,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,2,19,4,V17,V17,mono,shallow,disease,S12,2,16,4F,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,2,20,1,V110,V109,poly,mix,control,S12,1,1,8C,pink,0,NA,NA,NA,NA,NA,NA,NA,NA,missing
28,july,2017,2,20,2,V110,V109,poly,mix,control,S2,1,5,8F,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,2,20,3,V110,V109,poly,mix,control,D10,2,11,7A,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,2,20,4,V110,V109,poly,mix,control,M7,2,15,6E,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,21,1,V101,V101,poly,deep,disease,D11,2,15,4D,pink,0,NA,NA,NA,NA,NA,NA,NA,NA,dead
28,july,2017,3,21,2,V101,V101,poly,deep,disease,D9,1,5,10A,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,21,3,V101,V101,poly,deep,disease,D4,1,4,2E,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,21,4,V101,V101,poly,deep,disease,D10,2,9,9A,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,22,1,V72,V71,poly,mid,control,M9,2,14,12A,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,22,2,V72,V71,poly,mid,control,M10,1,5,7B,yellow,0,NA,NA,NA,NA,NA,NA,NA,NA,dead
28,july,2017,3,22,3,V72,V71,poly,mid,control,M7,1,6,6A,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,22,4,V72,V71,poly,mid,control,M6,2,15,12F,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,23,1,V71,V71,poly,mid,disease,M9,2,16,11E,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,23,2,V71,V71,poly,mid,disease,M10,1,8,1F,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,23,3,V71,V71,poly,mid,disease,M7,1,3,9B,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,23,4,V71,V71,poly,mid,disease,M6,2,14,1B,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,24,1,V49,V49,mono,mid,disease,M10,2,11,3E,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,24,2,V49,V49,mono,mid,disease,M10,1,7,11D,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,24,3,V49,V49,mono,mid,disease,M10,1,6,2D,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,24,4,V49,V49,mono,mid,disease,M10,2,14,1D,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,25,1,V56,V55,poly,mid,control,M11,2,12,12F,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,25,2,V56,V55,poly,mid,control,M12,1,2,8C,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,25,3,V56,V55,poly,mid,control,M4,2,16,5A,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,25,4,V56,V55,poly,mid,control,M3,1,7,4F,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,26,1,V50,V49,mono,mid,control,M10,2,16,9F,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,26,2,V50,V49,mono,mid,control,M10,1,4,8F,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,26,3,V50,V49,mono,mid,control,M10,1,1,4D,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,26,4,V50,V49,mono,mid,control,M10,2,15,6B,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,27,1,V116,V115,poly,mix,control,M3,1,5,10F,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,27,2,V116,V115,poly,mix,control,M11,2,15,11A,yellow,0,NA,NA,NA,NA,NA,NA,NA,NA,dead
28,july,2017,3,27,3,V116,V115,poly,mix,control,S10,2,15,3D,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,replace if possible
28,july,2017,3,27,4,V116,V115,poly,mix,control,D4,1,2,12B,purple,0,NA,NA,NA,NA,NA,NA,NA,NA,dead
28,july,2017,3,28,1,V102,V101,poly,deep,control,D11,2,11,4B,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,28,2,V102,V101,poly,deep,control,D9,1,8,2C,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,28,3,V102,V101,poly,deep,control,D4,1,1,10F,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,28,4,V102,V101,poly,deep,control,D10,2,10,2D,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,29,1,V55,V55,poly,mid,disease,M11,2,14,5A,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,29,2,V55,V55,poly,mid,disease,M12,1,6,12A,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,29,3,V55,V55,poly,mid,disease,M4,2,14,9B,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,29,4,V55,V55,poly,mid,disease,M3,1,4,11F,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,30,1,V115,V115,poly,mix,disease,M3,1,8,3A,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,30,2,V115,V115,poly,mix,disease,M11,2,13,7F,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,30,3,V115,V115,poly,mix,disease,S10,2,9,5D,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,3,30,4,V115,V115,poly,mix,disease,D4,1,3,5F,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,31,1,V12,V11,mono,shallow,control,S6,2,15,10E,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,31,2,V12,V11,mono,shallow,control,S6,2,9,2C,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,31,3,V12,V11,mono,shallow,control,S6,1,8,8E,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,31,4,V12,V11,mono,shallow,control,S6,1,6,3E,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,32,1,V11,V11,mono,shallow,disease,S6,2,13,2B,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,32,2,V11,V11,mono,shallow,disease,S6,2,16,1E,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,32,3,V11,V11,mono,shallow,disease,S6,1,6,6E,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,32,4,V11,V11,mono,shallow,disease,S6,1,3,8A,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,33,1,V37,V37,mono,mid,disease,M3,2,14,8E,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,33,2,V37,V37,mono,mid,disease,M3,1,8,6A,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,33,3,V37,V37,mono,mid,disease,M3,2,14,12D,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,33,4,V37,V37,mono,mid,disease,M3,1,4,11E,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,34,1,V63,V63,poly,mid,disease,M8,1,8,2A,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,34,2,V63,V63,poly,mid,disease,M6,1,6,4F,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,34,3,V63,V63,poly,mid,disease,M4,2,13,6E,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,34,4,V63,V63,poly,mid,disease,M11,1,8,6E,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,35,1,V60,V59,poly,mid,control,M6,1,2,6D,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,35,2,V60,V59,poly,mid,control,M3,2,11,7C,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,35,3,V60,V59,poly,mid,control,M4,1,1,9C,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,35,4,V60,V59,poly,mid,control,M12,2,11,6B,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,36,1,V59,V59,poly,mid,disease,M6,1,7,12F,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,36,2,V59,V59,poly,mid,disease,M3,2,16,2D,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,36,3,V59,V59,poly,mid,disease,M4,1,5,1B,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,36,4,V59,V59,poly,mid,disease,M12,2,10,1A,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,37,1,V114,V113,poly,mix,control,S6,2,14,11F,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,37,2,V114,V113,poly,mix,control,M12,1,1,12F,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,37,3,V114,V113,poly,mix,control,D6,1,5,10E,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,37,4,V114,V113,poly,mix,control,S3,2,14,4A,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,replace if possible
28,july,2017,4,38,1,V38,V37,mono,mid,control,M3,2,11,1C,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,38,2,V38,V37,mono,mid,control,M3,1,7,5F,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,38,3,V38,V37,mono,mid,control,M3,2,13,9F,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,38,4,V38,V37,mono,mid,control,M3,1,1,1F,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,39,1,V64,V63,poly,mid,control,M8,2,12,1D,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,39,2,V64,V63,poly,mid,control,M6,1,5,6F,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,39,3,V64,V63,poly,mid,control,M4,2,9,10E,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,39,4,V64,V63,poly,mid,control,M11,1,7,7A,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,40,1,V113,V113,poly,mix,disease,S6,2,14,11C,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,replace if possible
28,july,2017,4,40,2,V113,V113,poly,mix,disease,M12,1,7,3F,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,40,3,V113,V113,poly,mix,disease,D6,1,3,5C,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,4,40,4,V113,V113,poly,mix,disease,S3,2,9,8C,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,5,41,1,V68,V67,poly,mid,control,M10,1,4,2B,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,5,41,2,V68,V67,poly,mid,control,M8,1,6,9C,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,5,41,3,V68,V67,poly,mid,control,M9,2,14,12C,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,5,41,4,V68,V67,poly,mid,control,M12,2,14,3F,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,5,42,1,V90,V89,mono,deep,control,D11,2,9,4C,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,replace if possible
28,july,2017,5,42,2,V90,V89,mono,deep,control,D11,1,3,12D,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,5,42,3,V90,V89,mono,deep,control,D11,2,15,6C,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,5,42,4,V90,V89,mono,deep,control,D11,1,2,11A,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,5,43,1,V122,V121,poly,mix,control,S1,1,1,3D,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,5,43,2,V122,V121,poly,mix,control,D11,2,13,11D,yellow,0,NA,NA,NA,NA,NA,NA,NA,NA,dead
28,july,2017,5,43,3,V122,V121,poly,mix,control,D9,1,4,1B,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,5,43,4,V122,V121,poly,mix,control,M10,2,15,11F,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,5,44,1,V89,V89,mono,deep,disease,D11,2,16,3A,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,5,44,2,V89,V89,mono,deep,disease,D11,1,3,12A,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,5,44,3,V89,V89,mono,deep,disease,D11,2,10,3C,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,5,44,4,V89,V89,mono,deep,disease,D11,1,1,11B,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,5,45,1,V54,V53,mono,mid,control,M12,1,3,12C,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,5,45,2,V54,V53,mono,mid,control,M12,1,4,1A,yellow,0,NA,NA,NA,NA,NA,NA,NA,NA,dead
28,july,2017,5,45,3,V54,V53,mono,mid,control,M12,2,16,12D,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,5,45,4,V54,V53,mono,mid,control,M12,2,10,10F,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,5,46,1,V53,V53,mono,mid,disease,M12,1,8,4A,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,5,46,2,V53,V53,mono,mid,disease,M12,1,1,9F,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,5,46,3,V53,V53,mono,mid,disease,M12,2,11,11E,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,5,46,4,V53,V53,mono,mid,disease,M12,2,16,7E,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,5,47,1,V125,V125,poly,mix,disease,D2,2,9,10F,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,5,47,2,V125,V125,poly,mix,disease,M6,1,1,9B,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,5,47,3,V125,V125,poly,mix,disease,S11,1,7,8A,blue,0,NA,NA,NA,NA,NA,NA,NA,NA,dead
28,july,2017,5,47,4,V125,V125,poly,mix,disease,D6,2,13,4C,purple,0,NA,NA,NA,NA,NA,NA,NA,NA,dead
28,july,2017,5,48,1,V121,V121,poly,mix,disease,S1,1,4,8B,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,5,48,2,V121,V121,poly,mix,disease,D11,2,11,2D,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,5,48,3,V121,V121,poly,mix,disease,D9,1,3,9F,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,5,48,4,V121,V121,poly,mix,disease,M10,2,12,4F,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,5,49,1,V126,V125,poly,mix,control,D2,2,16,3F,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,5,49,2,V126,V125,poly,mix,control,M6,1,8,4B,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,5,49,3,V126,V125,poly,mix,control,S11,1,7,2A,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,5,49,4,V126,V125,poly,mix,control,D6,2,15,6F,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
